id,name,code,is_active,created_at,updated_at
2efea362-0804-4415-a1c3-2da3f0618223,Alpha Pro Tech,APT,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
2f52af83-7dfd-4122-a276-3c17da16e659,Bunzl,BNZ,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
328f13f7-1fe3-4d89-970b-afa589e1c7c6,Occounomix,OCC,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
32ff13c0-6e95-4f3f-ad58-3feb896da9b9,District,DIS,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
33779f34-cb15-4a09-8917-4280799b5168,Berne Workwear,BRN,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
33b76b8f-565a-4968-9b8c-32a87367be4d,Mongrel,MON,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
34a8c8b7-3486-4b5c-961a-e9d97a844090,WK. Designed To Work,WK,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
35594771-24f0-4bde-bc8d-8050cb5aa235,Commeaux,COM,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
3564aa64-0577-4df5-8f74-d2e4475f0d45,Elka,ELK,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
35efa758-1ddb-4ff3-ab58-3bef16eb34bc,Lyreco Intersafe,LYR,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
36071f1e-9e0d-478c-8989-b59e4b5cfdbe,Horace Small,HRS,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
38ed3a0c-fc5b-407b-902d-10ac36423128,Lemaitre,LEM,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
38f858ec-2bcc-4807-bc87-9c1b073e5641,Malfini,MAL,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
3a67d978-71d4-4e55-a40e-ad11046b3cfb,Wolverine,WOL,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
3cd2587c-50b7-4722-82b0-8764b927de5b,Mantis,MNT,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
40270630-df66-44d4-88d9-f3409fcd1ed5,GARANT Industrieservice,GAR,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
40cfc6f4-e749-486d-99b6-8da5bfa18f79,Sioen Industries,SIO,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
4366f16c-857b-40fb-a1b9-f2a4f1bcd0b4,Result,RES,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
4420c13f-4d2d-4207-9595-0863886f0bb4,Alsco Uniforms,ALU,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
44d07bef-faf1-4700-b356-0b3ae44a91f8,Global Safewear,GSW,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
45c174da-4875-4a4c-a059-b5052b5eded6,Timberland PRO,TPR,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
